Date : 2026-03-12 00:45:41
Directory : /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt
Total : 220 files,  35297 codes, 676 comments, 3065 blanks, all 39038 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| prisma/migrations/20260305172748_maked_the_staff_profile_photo_optional                                                                                                                                                     |          1 |          2 |          1 |          1 |          4 |
| server                                                                                                                                                                                                                      |         59 |      1,435 |        149 |        260 |      1,844 |
| server/api                                                                                                                                                                                                                  |         55 |      1,363 |        146 |        238 |      1,747 |
| server/api (Files)                                                                                                                                                                                                          |          1 |         18 |          1 |          5 |         24 |
| server/api/bookings                                                                                                                                                                                                         |          3 |         31 |          1 |          9 |         41 |
| server/api/dashboard                                                                                                                                                                                                        |          5 |        185 |          5 |         23 |        213 |
| server/api/dashboard/stats                                                                                                                                                                                                  |          5 |        185 |          5 |         23 |        213 |
| server/api/leave-requests                                                                                                                                                                                                   |          4 |         44 |          1 |          5 |         50 |
| server/api/menu                                                                                                                                                                                                             |          7 |        110 |          0 |         27 |        137 |
| server/api/menu (Files)                                                                                                                                                                                                     |          6 |         86 |          0 |         22 |        108 |
| server/api/menu/update_availability                                                                                                                                                                                         |          1 |         24 |          0 |          5 |         29 |
| server/api/orders                                                                                                                                                                                                           |          6 |        181 |        105 |         45 |        331 |
| server/api/roster-agent                                                                                                                                                                                                     |          1 |         93 |          0 |         10 |        103 |
| server/api/shift                                                                                                                                                                                                            |          6 |        100 |          1 |         20 |        121 |
| server/api/staff                                                                                                                                                                                                            |          7 |         94 |          7 |         21 |        122 |
| server/api/stock                                                                                                                                                                                                            |          5 |         70 |          0 |         19 |         89 |
| server/api/stripe-checkout                                                                                                                                                                                                  |          3 |        278 |         25 |         26 |        329 |
| server/api/stripe-checkout (Files)                                                                                                                                                                                          |          1 |         45 |          8 |         10 |         63 |
| server/api/stripe-checkout/session-status                                                                                                                                                                                   |          2 |        233 |         17 |         16 |        266 |
| server/api/tables                                                                                                                                                                                                           |          5 |        109 |          0 |         21 |        130 |
| server/api/vapi-booking-tool                                                                                                                                                                                                |          2 |         50 |          0 |          7 |         57 |
| server/utils                                                                                                                                                                                                                |          4 |         72 |          3 |         22 |         97 |
| types                                                                                                                                                                                                                       |          8 |        110 |          1 |         17 |        128 |
| zod_schema                                                                                                                                                                                                                  |          1 |         54 |         14 |         11 |         79 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                                    | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/README.md                                                                                                                                                  | Markdown           |        193 |          0 |         82 |        275 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/app.vue                                                                                                                                                | Vue                |          9 |          0 |          8 |         17 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/assets/css/main.css                                                                                                                                    | PostCSS            |        220 |          6 |         28 |        254 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/assets/images/logo.svg                                                                                                                                 | XML                |          1 |          0 |          1 |          2 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/client_utils/cloudinary_upload_image.ts                                                                                                                | TypeScript         |         36 |          0 |         10 |         46 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/client_utils/constants.ts                                                                                                                              | TypeScript         |         15 |          0 |          2 |         17 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/client_utils/enum.ts                                                                                                                                   | TypeScript         |          4 |          2 |          1 |          7 |
