"filename", "language", "TypeScript", "Vue", "XML", "PostCSS", "JSON", "JSON with Comments", "YAML", "Prisma", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/addShift.vue", "Vue", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 6, 82, 227
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/draft_shift.vue", "Vue", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 80
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/editShift.vue", "Vue", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 6, 71, 201
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/edit_draft_shift.vue", "Vue", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 97
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/roster_ai_sidebar_modal.vue", "Vue", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 22, 24, 154
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/roster_calendar.vue", "Vue", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 29, 79, 283
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/shift_loading.vue", "Vue", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 18, 31, 92
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/staff_shift.vue", "Vue", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 78
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/staffs.vue", "Vue", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 60
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/staff_components/Add_Staff_Modal.vue", "Vue", 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 10, 77, 312
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/staff_components/Edit_Staff_Modal.vue", "Vue", 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 11, 56, 300
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/staff_components/Staff_Card.vue", "Vue", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 11, 18, 146
